,College Name,GPA,Verbal,Quants,Writing
182,University Of Alberta,3.76,154.0,167.0,3.5
183,Georgetown University,3.79,163.0,147.0,4.5
184,Central Michigan University,3.2,150.0,159.0,3.0
185,Duquesne University,3.43,157.0,149.0,4.5
186,Boston University (BU),3.1,150.0,152.0,3.0
187,"Miami University, Ohio",3.82,159.0,147.0,4.5
188,Truman State University,3.34,157.0,151.0,4.0
189,California University Of Pennsylvania,3.81,148.0,147.0,3.5
190,Boston University (BU),3.2,159.0,158.0,5.5
191,University Of Arkansas,3.7,156.0,156.0,3.0
192,University Of Oklahoma,3.7,156.0,156.0,3.0
193,Valdosta State University,3.47,155.0,151.0,4.0
194,Cornell University,3.4,157.0,161.0,4.5
195,Florida State University (FSU),3.83,142.0,161.0,3.0
196,"University Of Illinois, Chicago (UIC)",3.83,142.0,161.0,3.0
197,University Of Georgia,3.87,142.0,161.0,3.0
198,Princeton University,3.57,169.0,170.0,5.5
199,University Of Toronto (UofT),3.3,153.0,161.0,3.0
200,North Caroline State University (NCSU),3.5520000000000005,156.0,168.0,3.5
201,McGill Unviversity,3.37,152.0,160.0,3.0
202,Portland State University,3.16,147.0,150.0,2.5
203,"University Of Minnesota, Twin Cities (UMN)",3.6,161.0,170.0,4.0
204,"University Of Minnesota, Twin Cities (UMN)",3.94,144.0,168.0,3.0
205,TU Munich,3.2,150.0,160.0,3.5
206,Northern Kentucky University,3.88,146.0,157.0,3.0
207,Northeastern University,3.0,158.0,161.0,3.5
208,McGill Unviversity,3.68,153.0,162.0,4.0
209,California State University Dominguez Hills,3.72,156.0,152.0,4.5
210,"University Of Minnesota, Twin Cities (UMN)",3.38,156.0,163.0,5.0
211,"University Of Florida, Gainesville (UFL)",3.15,157.0,165.0,4.5
212,"Indiana University, Bloomington",2.91,157.0,168.0,4.0
213,"University Of Minnesota, Twin Cities (UMN)",3.93,151.0,170.0,3.0
214,"California State University, Northridge",3.4,155.0,163.0,3.5
215,Michigan State University (MSU),3.78,148.0,147.0,4.0
216,Tufts University,3.88,158.0,155.0,5.5
217,New York University (NYU),3.4,150.0,167.0,4.0
218,Florida State University (FSU),3.0,150.0,150.0,4.0
219,SUNY Buffalo,3.65,140.0,170.0,2.0
220,Washington State University (WSU),3.55,166.0,149.0,3.5
221,McGill Unviversity,3.92,157.0,170.0,3.5
222,University Of Alberta,3.92,157.0,170.0,3.5
223,Purdue University,3.95,165.0,159.0,4.0
224,SUNY Buffalo,3.24,150.0,164.0,3.5
225,Grand Valley State University,3.6,160.0,148.0,5.0
226,"Ohio University, Athens",3.7,145.0,145.0,3.5
227,Boston University (BU),3.18,161.0,163.0,3.5
228,Columbia University,3.18,161.0,163.0,3.5
229,Boston University (BU),3.5,153.0,160.0,4.0
230,Seton Hall University,3.6,152.0,152.0,4.5
231,"University Of Washington, Seattle (UW)",3.76,162.0,163.0,5.0
232,SUNY Buffalo,3.75,153.0,162.0,3.0
233,Purdue University,3.5,152.0,162.0,3.5
234,Columbia University,3.3,170.0,144.0,2.5
235,University Of Central Missouri,3.55,143.0,151.0,4.0
236,Long Island University,3.2,150.0,152.0,3.5
237,"University Of Florida, Gainesville (UFL)",3.6,155.0,144.0,4.0
238,"University Of California, Santa Barbara (UCSB)",3.85,157.0,167.0,4.0
239,"University Of Texas, Austin (UT Austin)",3.9,155.0,155.0,4.0
240,Midwestern University,3.92,148.0,147.0,4.5
241,University Of Southern California (USC),3.72,148.0,163.0,3.5
242,University Of Virginia (UVA),3.65,158.0,168.0,3.5
243,Columbia University,3.6,154.0,170.0,3.5
244,"University Of California, Santa Barbara (UCSB)",3.35,157.0,170.0,4.0
245,Columbia University,3.6,158.0,163.0,4.0
246,"California State University, Fullerton",3.76,148.0,154.0,4.0
247,Columbia University,3.8,155.0,170.0,3.5
248,Maryland University,3.91,157.0,151.0,4.5
249,Northeastern University,3.3,154.0,156.0,4.0
250,"Indiana University, Bloomington",3.3,154.0,156.0,4.0
251,University Of New Hampshire,3.5,155.0,151.0,4.0
252,University Of Wisconsin- Stevens Point,3.67,149.0,144.0,4.0
253,"University Of Michigan, Ann Arbor (UMich)",3.69,167.0,164.0,5.0
254,University Of Pennsylvania (UPenn),3.23,152.0,164.0,4.5
255,University Of British Columbia,3.49,154.0,163.0,4.0
256,University Of South Florida- St. Petersburg,4.0,160.0,155.0,5.0
257,University Of Alaska- Anchorage,4.0,160.0,155.0,5.0
258,Florida Atlantic University,3.47,166.0,158.0,5.5
259,University Of Southern California (USC),3.32,162.0,153.0,4.0
260,Cornell University,3.52,154.0,164.0,4.5
261,Brown University,3.4,155.0,165.0,4.0
262,Idaho State University,3.38,159.0,152.0,4.5
263,Catholic University Of America,3.27,165.0,160.0,4.5
264,Idaho State University,3.88,153.0,149.0,4.5
265,University Of Virginia (UVA),3.87,154.0,168.0,3.0
266,"University Of Illinois, Chicago (UIC)",3.45,146.0,167.0,3.5
267,"University Of Texas, Austin (UT Austin)",3.96,151.0,152.0,4.0
268,University Of Minnesota,3.96,152.0,152.0,4.0
269,Stanford University,3.5,165.0,166.0,3.0
270,"University Of Florida, Gainesville (UFL)",3.86,153.0,145.0,4.0
271,Appalachian State University,4.0,155.0,143.0,3.5
272,Andrews University,3.9,149.0,146.0,4.0
273,University Of Akron,3.7,145.0,145.0,3.5
274,University Of Saskatchewan,3.92,169.0,170.0,5.5
275,University Of Connecticut,2.85,153.0,155.0,4.5
