,College Name,GPA,Verbal,Quants,Writing,Cluster
184,Kean University,3.6607692307692314,153.73076923076923,152.34615384615384,4.346153846153846,4
185,Keele University,3.13,154.0,154.0,5.0,4
186,Kennesaw State University,3.4259999999999997,156.0,149.6,4.1,4
187,Kent State University,3.7973076923076925,154.84615384615384,151.3846153846154,4.173076923076923,4
188,King Abdullah University Of Science And Technology (KAUST),3.736666666666667,149.33333333333334,166.83333333333334,3.8333333333333335,3
189,LSE/USC,3.64,168.0,162.0,5.5,0
190,La Salle University,3.813529411764705,157.0,153.23529411764707,4.411764705882353,4
191,LaSalle University,3.763333333333333,154.66666666666666,151.33333333333334,4.5,4
192,Lamar University,3.39,150.0,155.66666666666666,3.5,4
193,Lehigh University,3.6825000000000006,157.66666666666666,158.66666666666666,4.125,4
194,Lesley University,3.4,149.0,149.0,5.0,1
195,Liberty University,1.8,140.0,131.0,2.0,1
196,Loma Linda University,3.8866666666666667,156.16666666666666,149.83333333333334,4.0,4
197,London School Of Economics (LSE),3.67,164.0,152.0,4.5,2
198,Long Island University,3.45125,152.5,154.0,4.3125,4
199,"Long Island University, CW Post",3.7260000000000004,153.0,147.4,4.5,1
200,Longwood University,3.658947368421053,153.47368421052633,151.10526315789474,4.157894736842105,1
201,Louisiana State University,3.6182608695652174,159.56521739130434,154.1304347826087,4.195652173913044,4
202,Louisiana Tech University,3.6033333333333335,148.0,149.33333333333334,3.6666666666666665,1
203,"Loyala University, Maryland",3.739411764705882,157.23529411764707,153.35294117647058,4.411764705882353,4
204,Loyola University,3.7516666666666665,157.66666666666666,149.33333333333334,4.333333333333333,4
205,"Loyola University, Chicago",3.571,158.5,154.3,4.6,4
206,Lund University,3.685,158.5,165.5,3.5,0
207,"Lyndon B. Johnson School Of Public Affairs, University Of Texas, Austin",3.17,158.0,157.0,4.5,4
208,MIT (DUSP),3.8,166.0,160.0,5.0,2
209,MIT DUSP,3.72,164.0,166.0,6.0,0
210,"MPSTME, NMIMS University",3.26,155.0,164.0,3.5,3
211,Maastricht University,3.73,159.0,158.0,4.5,4
212,Marquette University,3.675692307692308,158.07692307692307,155.35897435897436,4.576923076923077,4
213,Marshall University,3.6491666666666673,148.91666666666666,148.0,4.0,1
214,Maryland University,3.91,157.0,151.0,4.5,4
215,Marymount University,3.5033333333333334,159.33333333333334,152.0,5.0,4
